"location","file","tree","x","y","phi","h.dist","dbh","h","v","n.pts","n.pts.red","n.pts.est","n.pts.red.est","partial.occlusion","locationID","altitude","on.off.trail","latitude","longitude","habitat","partition"
"BM 14.35","BM14.35.txt",57,11.010095,9.808265,0.727732649,14.74531967,38.79640443,16.845,0.532153941,937.6666667,462.6666667,493.4795648,246.6408444,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",58,-12.7057375,-7.6817875,3.685834309,14.84838074,19.38226736,18.265,0.140081382,32.5,15,246.5370955,123.2191194,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",59,-9.29885,11.9237,2.233119431,15.12105676,10.37331675,14.541,0.034767901,49,25,131.9457283,65.94641027,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",60,-15.66451,-1.244165,3.221130658,15.71523291,16.99954331,18.085,0.107043704,57.66666667,28.33333333,216.2295026,108.0713993,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",61,-13.2438175,9.662335833,2.511307986,16.39570403,19.37034483,7.402,0.094420168,105.6666667,51.33333333,246.3854442,123.1433241,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"CK 4.42","CK4.42.txt",1,0.3019225,-0.9478725,4.988033022,1.005773095,3.982840227,6.786,0.004381715,57.33333333,30.66666667,918.7671709,465.7002456,1,193,54,"ON",-1.21281,110.10916,"Lowland Sandstone","LS1"
"CK 4.42","CK4.42.txt",2,-1.53035625,-0.56766375,3.496453223,1.632270586,21.39038112,21.336,0.300080474,139,64,4934.363125,2501.106039,0,193,54,"ON",-1.21281,110.10916,"Lowland Sandstone","LS1"
"CK 4.42","CK4.42.txt",3,-0.618663333,1.536168333,1.953412759,1.658174905,61.21607975,23.141,2.64052888,4820.333333,2437.666667,14121.41115,7157.792367,0,193,54,"ON",-1.21281,110.10916,"Lowland Sandstone","LS1"
"CK 4.42","CK4.42.txt",4,1.258989167,1.735819167,0.95532647,2.169102719,22.90347101,21.799,0.350594967,186.6666667,87,5283.404823,2678.026601,0,193,54,"ON",-1.21281,110.10916,"Lowland Sandstone","LS1"
"CK 4.42","CK4.42.txt",5,1.7390025,3.3133575,1.083715873,3.751649469,14.14356256,36.445,0.213222591,96.5,50.5,3262.656853,1653.759675,1,193,54,"ON",-1.21281,110.10916,"Lowland Sandstone","LS1"
"CK 4.42","CK4.42.txt",6,2.133404167,3.3504475,1.010982783,3.982867227,25.25376516,23.215,0.450655091,89.33333333,41.66666667,5825.573974,2952.83867,0,193,54,"ON",-1.21281,110.10916,"Lowland Sandstone","LS1"
"CK 4.42","CK4.42.txt",7,0.692873333,-3.939563333,4.886156098,4.000691895,16.18248506,23.858,0.189603876,1318.333333,658.6666667,3732.998355,1892.164093,1,193,54,"ON",-1.21281,110.10916,"Lowland Sandstone","LS1"
"CK 4.42","CK4.42.txt",9,-1.450671667,-3.926033333,4.330566007,4.230135229,8.756810311,18.926,0.04530988,76.33333333,43,2020.033287,1023.904671,0,193,54,"ON",-1.21281,110.10916,"Lowland Sandstone","LS1"
"CK 4.42","CK4.42.txt",10,-1.4030225,-4.932214167,4.435281621,5.127935996,27.30837372,19.847,0.459141985,1729.333333,864.6666667,6299.533959,3193.077207,1,193,54,"ON",-1.21281,110.10916,"Lowland Sandstone","LS1"
"CK 4.42","CK4.42.txt",11,2.094254167,-4.882419167,5.117642708,5.312759692,31.67663246,23.098,0.705862934,1212,606.6666667,7307.210015,3703.843157,1,193,54,"ON",-1.21281,110.10916,"Lowland Sandstone","LS1"
"CK 4.42","CK4.42.txt",12,-1.574329167,-5.1210275,4.414656412,5.358087856,21.19718816,21.445,0.296006876,223.3333333,115.6666667,4889.797101,2478.516629,0,193,54,"ON",-1.21281,110.10916,"Lowland Sandstone","LS1"
"CK 4.42","CK4.42.txt",13,-1.762021667,5.070205,1.905266528,5.367669407,11.64952305,21.632,0.090090325,6488.333333,3254,2687.328319,1362.139939,1,193,54,"ON",-1.21281,110.10916,"Lowland Sandstone","LS1"
"CK 4.42","CK4.42.txt",14,1.0905325,-6.063135,4.923294312,6.29307253,25.04129503,20.58,0.398464316,285.5,148.5,5776.561068,2927.995246,1,193,54,"ON",-1.21281,110.10916,"Lowland Sandstone","LS1"
