Orig_singkat,New_Singkat,singkat_prior_2016,Order_latin,Family,Latin_name,Spp_common_name,Indonesia_name,Mark_comment_3_06,class,notes
gb,GB,NULL,PASSE,EURYL,Calyptomena viridis,Green Broadbill,NULL,green broadbill,Bird,NULL
NULL,RB,NULL,PASSE,EURYL,Eurylaimus sp,Reddish broadbills,NULL,NULL,Bird,NULL
br,BR,NULL,PASSE,EURYL,,Unid Broadbill,NULL,,Bird,NULL
ggl,GG,NULL,PASSE,IRENI,Chloropsis sonnerati,Greater Green Leafbird,NULL,have to look up in notebook,Bird,NULL
lb,LB,NULL,PASSE,IRENI,Chloropsis spp.,Leafbird lesser or greater,Buring kecil hijau leher hitam,leaf bird (lesser of greater?),Bird,NULL
fb,FB,NULL,PASSE,IRENI,Irena puella,Fairy Bluebird,Burung biru tua,fairy bluebird,Bird,NULL
,BF,NULL,PICIF,MEGAL,Calorhamphus fuliginosus,Brown Barbet,Pipit coklat,,Bird,NULL
ma,MA,NULL,PICIF,MEGAL,Megalaima australis,Little Barbet,Pipit kecil,these m's are mystacophanesÃausgtralis,Bird,NULL
mc,MC,NULL,PICIF,MEGAL,Megalaima chrysopogon,Gold-wiskered Barbet,Pipit mas,m. chryso,Bird,NULL
mh,MH,NULL,PICIF,MEGAL,Megalaima henricii,Yellow-crowned Barbet,Pipit kepala kuning,m henricii,Bird,NULL
mm,MM,NULL,PICIF,MEGAL,Megalaima mystacophanes,Gaudy Barbet,Pipit warna-warni,m mystacophanes,Bird,NULL
mp,MP,NULL,PICIF,MEGAL,Megalaima pulcherrima,Golden-naped Barbet,Pipit leher mas,who the hell?,Bird,NULL
mr,MR,NULL,PICIF,MEGAL,Megalaima rafflesii,Red-crowned Barbet,Pipit kepala merah,ck match green barbet spp?,Bird,NULL
mx,MX,NULL,PICIF,MEGAL,,Unid gn barbet,Pipit tak tahu nama,unknown gn barbet,Bird,NULL
